iso,pais,camas_hospital_1000hab,tasa_homicidios_100mil
NZL,New Zealand,2.51,1.46149415952832
OED,OECD members,4.61986205556494,4.5
OMN,Oman,0.99,0.138633928990513
OSS,Other small states,3.02475841451989,9.2
PAK,Pakistan,0.63,4.33487075793336
PAN,Panama,1.95,11.7072934419645
PLW,Palau,,11.2268096213758
PRE,Pre-demographic dividend,,8.1
PRK,"Korea, Dem. People's Rep.",12.8,
PSS,Pacific island small states,,3.4
PST,Post-demographic dividend,5.32372143020933,2.3
SAS,South Asia,1.53532513069563,2.8
SLV,El Salvador,1.21,7.89768799960639
SSA,Sub-Saharan Africa (excluding high income),,9.4
SSF,Sub-Saharan Africa,,12.2
SST,Small states,2.90250512616929,13.0
SWZ,Eswatini,,12.5145709802017
TCD,Chad,0.15,
TEA,East Asia & Pacific (IDA & IBRD countries),4.73070700615744,1.4
TEC,Europe & Central Asia (IDA & IBRD countries),5.37330378592921,5.7
TLA,Latin America & the Caribbean (IDA & IBRD countries),1.95926561801309,22.7
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",0.882696032925841,3.8
TSA,South Asia (IDA & IBRD),1.53532513069563,3.6
TSS,Sub-Saharan Africa (IDA & IBRD countries),,9.4
WLD,World,3.29430541419327,5.2
XKX,Kosovo,,1.89497747704421
