destino,resenas_analizadas,sentimiento_medio,confianza_media,resenas_positivas,resenas_neutras,resenas_negativas,pct_negativas,modelo_sentimiento
Ankara,139,0.5475,0.6542,46,47,46,33.09,cardiffnlp/twitter-xlm-roberta-base-sentiment
Albania Saranda,139,0.538,0.6879,40,65,34,24.46,cardiffnlp/twitter-xlm-roberta-base-sentiment
Salzburg,138,0.6016,0.68,54,56,28,20.29,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cádiz,137,0.637,0.6839,60,59,18,13.14,cardiffnlp/twitter-xlm-roberta-base-sentiment
Centro,135,0.5586,0.6467,45,57,33,24.44,cardiffnlp/twitter-xlm-roberta-base-sentiment
Atenas,134,0.735,0.7821,84,42,8,5.97,cardiffnlp/twitter-xlm-roberta-base-sentiment
Zürich,133,0.5254,0.6721,36,61,36,27.07,cardiffnlp/twitter-xlm-roberta-base-sentiment
Stockholm,133,0.4994,0.6528,32,58,43,32.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cancun vacation experience,131,0.5535,0.6428,48,41,42,32.06,cardiffnlp/twitter-xlm-roberta-base-sentiment
Kos,129,0.5566,0.6738,47,46,36,27.91,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cesme,129,0.6998,0.7371,71,45,13,10.08,cardiffnlp/twitter-xlm-roberta-base-sentiment
Sharm el Sheikh,126,0.5119,0.6723,29,67,30,23.81,cardiffnlp/twitter-xlm-roberta-base-sentiment
Kefalonia,126,0.5455,0.6666,37,56,33,26.19,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bulgaria Sunny Beach,126,0.6174,0.7104,55,49,22,17.46,cardiffnlp/twitter-xlm-roberta-base-sentiment
Stuttgart,125,0.5261,0.6387,36,56,33,26.4,cardiffnlp/twitter-xlm-roberta-base-sentiment
Sicilia,124,0.5642,0.7113,46,51,27,21.77,cardiffnlp/twitter-xlm-roberta-base-sentiment
Paros,124,0.5162,0.6349,27,69,28,22.58,cardiffnlp/twitter-xlm-roberta-base-sentiment
Norte,124,0.4787,0.6524,25,60,39,31.45,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cuba Varadero,124,0.4838,0.6758,37,44,43,34.68,cardiffnlp/twitter-xlm-roberta-base-sentiment
Playa del Ingles,123,0.614,0.7231,52,52,19,15.45,cardiffnlp/twitter-xlm-roberta-base-sentiment
Almería,123,0.654,0.7577,57,51,15,12.2,cardiffnlp/twitter-xlm-roberta-base-sentiment
Costa Blanca,122,0.6223,0.7104,47,60,15,12.3,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bonaire,121,0.5745,0.696,44,55,22,18.18,cardiffnlp/twitter-xlm-roberta-base-sentiment
Maldivas,120,0.5689,0.7396,41,57,22,18.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
