destino,resenas_analizadas,sentimiento_medio,confianza_media,resenas_positivas,resenas_neutras,resenas_negativas,pct_negativas,modelo_sentimiento
Piemonte,51,0.5962,0.7438,21,22,8,15.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Lazio,51,0.5809,0.7068,17,25,9,17.65,cardiffnlp/twitter-xlm-roberta-base-sentiment
Innlandet,51,0.819,0.8677,41,5,5,9.8,cardiffnlp/twitter-xlm-roberta-base-sentiment
Emilia-Romagna,51,0.5222,0.6499,10,32,9,17.65,cardiffnlp/twitter-xlm-roberta-base-sentiment
Croacia islas,51,0.6811,0.782,27,19,5,9.8,cardiffnlp/twitter-xlm-roberta-base-sentiment
Arnsberg,51,0.8012,0.8219,39,8,4,7.84,cardiffnlp/twitter-xlm-roberta-base-sentiment
Łódzkie,50,0.7759,0.8332,36,10,4,8.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Thessalia,49,0.6977,0.7243,27,20,2,4.08,cardiffnlp/twitter-xlm-roberta-base-sentiment
Sud-Muntenia,49,0.5042,0.7898,20,10,19,38.78,cardiffnlp/twitter-xlm-roberta-base-sentiment
Jug,49,0.3727,0.5571,3,20,26,53.06,cardiffnlp/twitter-xlm-roberta-base-sentiment
Dél-Dunántúl,49,0.8413,0.8402,40,7,2,4.08,cardiffnlp/twitter-xlm-roberta-base-sentiment
Castilla y León,49,0.588,0.6885,14,30,5,10.2,cardiffnlp/twitter-xlm-roberta-base-sentiment
Sjælland,48,0.8276,0.8364,38,8,2,4.17,cardiffnlp/twitter-xlm-roberta-base-sentiment
Castilla-La Mancha,48,0.5475,0.7129,11,31,6,12.5,cardiffnlp/twitter-xlm-roberta-base-sentiment
Aquitaine,48,0.6177,0.7336,19,22,7,14.58,cardiffnlp/twitter-xlm-roberta-base-sentiment
Vorarlberg,47,0.5955,0.7342,16,26,5,10.64,cardiffnlp/twitter-xlm-roberta-base-sentiment
TUI Magic Life Bodrum,47,0.6541,0.8224,20,24,3,6.38,cardiffnlp/twitter-xlm-roberta-base-sentiment
Rhodes travel tips,47,0.6198,0.6992,19,23,5,10.64,cardiffnlp/twitter-xlm-roberta-base-sentiment
Prov. Namur,47,0.7753,0.7765,32,13,2,4.26,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cancun all inclusive,47,0.5828,0.6464,14,31,2,4.26,cardiffnlp/twitter-xlm-roberta-base-sentiment
Alentejo,47,0.5804,0.6392,15,24,8,17.02,cardiffnlp/twitter-xlm-roberta-base-sentiment
Abruzzo,47,0.5646,0.7143,15,24,8,17.02,cardiffnlp/twitter-xlm-roberta-base-sentiment
Marche,46,0.586,0.6478,16,23,7,15.22,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cancún experiencia viaje,46,0.6031,0.7196,17,23,6,13.04,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bratislavský kraj,46,0.7527,0.7953,30,15,1,2.17,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Ağrı, Kars, Iğdır, Ardahan",46,0.7701,0.7291,37,6,3,6.52,cardiffnlp/twitter-xlm-roberta-base-sentiment
Münster,45,0.5803,0.6762,13,25,7,15.56,cardiffnlp/twitter-xlm-roberta-base-sentiment
Lombardia,45,0.6896,0.78,22,22,1,2.22,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bilbao,45,0.7152,0.7667,29,10,6,13.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
Západné Slovensko,44,0.7372,0.751,30,9,5,11.36,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",44,0.6725,0.7076,26,10,8,18.18,cardiffnlp/twitter-xlm-roberta-base-sentiment
Fuerteventura Strand,44,0.5044,0.7612,13,17,14,31.82,cardiffnlp/twitter-xlm-roberta-base-sentiment
Detmold,44,0.5497,0.7025,16,15,13,29.55,cardiffnlp/twitter-xlm-roberta-base-sentiment
Crete family holiday,44,0.5347,0.6352,15,16,13,29.55,cardiffnlp/twitter-xlm-roberta-base-sentiment
Sardegna,43,0.633,0.7291,18,20,5,11.63,cardiffnlp/twitter-xlm-roberta-base-sentiment
Santa Eulalia Ibiza,43,0.5682,0.7794,16,18,9,20.93,cardiffnlp/twitter-xlm-roberta-base-sentiment
Playa d'en Bossa,43,0.5546,0.7336,10,30,3,6.98,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mittelfranken,43,0.6382,0.7397,20,19,4,9.3,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mallorca beach holiday,43,0.5875,0.68,16,21,6,13.95,cardiffnlp/twitter-xlm-roberta-base-sentiment
Flevoland,43,0.5312,0.7708,16,12,15,34.88,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Van, Muş, Bitlis, Hakkari",42,0.7306,0.7548,28,10,4,9.52,cardiffnlp/twitter-xlm-roberta-base-sentiment
Dytiki Makedonia,42,0.8171,0.8159,32,8,2,4.76,cardiffnlp/twitter-xlm-roberta-base-sentiment
viaje invierno sol barato,41,0.5356,0.7231,8,30,3,7.32,cardiffnlp/twitter-xlm-roberta-base-sentiment
Haute-Normandie,41,0.8158,0.8414,30,10,1,2.44,cardiffnlp/twitter-xlm-roberta-base-sentiment
Auvergne,41,0.6332,0.7304,18,18,5,12.2,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tenerife holiday review,40,0.6265,0.7865,16,19,5,12.5,cardiffnlp/twitter-xlm-roberta-base-sentiment
Tenerife all inclusive,40,0.5272,0.7209,7,27,6,15.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Kriti,40,0.5165,0.6643,12,17,11,27.5,cardiffnlp/twitter-xlm-roberta-base-sentiment
Kassel,40,0.5503,0.6442,9,25,6,15.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Eastern and Midland,40,0.65,0.7675,18,19,3,7.5,cardiffnlp/twitter-xlm-roberta-base-sentiment
Córdoba,40,0.7362,0.7798,27,9,4,10.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Braunschweig,40,0.7028,0.7148,24,11,5,12.5,cardiffnlp/twitter-xlm-roberta-base-sentiment
Östra Mellansverige,39,0.6116,0.7601,19,11,9,23.08,cardiffnlp/twitter-xlm-roberta-base-sentiment
puente mayo destino,39,0.55,0.7621,8,27,4,10.26,cardiffnlp/twitter-xlm-roberta-base-sentiment
mejor destino luna de miel,39,0.6108,0.734,13,23,3,7.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Pelión,39,0.6809,0.799,21,14,4,10.26,cardiffnlp/twitter-xlm-roberta-base-sentiment
Noord-Holland,39,0.6499,0.7247,17,17,5,12.82,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mallorca hotel,39,0.5215,0.6538,7,26,6,15.38,cardiffnlp/twitter-xlm-roberta-base-sentiment
Guyane,39,0.5769,0.7315,17,12,10,25.64,cardiffnlp/twitter-xlm-roberta-base-sentiment
Creta vacaciones opinión,39,0.7256,0.7731,22,16,1,2.56,cardiffnlp/twitter-xlm-roberta-base-sentiment
Antalya all inclusive,39,0.6363,0.7702,16,20,3,7.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Zeeland,38,0.5296,0.6257,7,27,4,10.53,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Konya, Karaman",38,0.6588,0.7532,18,17,3,7.89,cardiffnlp/twitter-xlm-roberta-base-sentiment
Etelä-Suomi,38,0.6199,0.7825,16,17,5,13.16,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Samsun, Tokat, Çorum, Amasya",37,0.7308,0.7598,25,7,5,13.51,cardiffnlp/twitter-xlm-roberta-base-sentiment
Provincia Autonoma di Trento,37,0.6856,0.7795,20,12,5,13.51,cardiffnlp/twitter-xlm-roberta-base-sentiment
Pohjois- ja Itä-Suomi,37,0.6928,0.7648,20,13,4,10.81,cardiffnlp/twitter-xlm-roberta-base-sentiment
Nord-Est,37,0.6637,0.7383,17,18,2,5.41,cardiffnlp/twitter-xlm-roberta-base-sentiment
Canarias,37,0.5521,0.7034,8,26,3,8.11,cardiffnlp/twitter-xlm-roberta-base-sentiment
Sud-Est,36,0.6615,0.7653,17,17,2,5.56,cardiffnlp/twitter-xlm-roberta-base-sentiment
Iberostar Creta,36,0.6147,0.8113,14,17,5,13.89,cardiffnlp/twitter-xlm-roberta-base-sentiment
Darmstadt,36,0.6725,0.6826,17,16,3,8.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
Costa del Sol vs Algarve,36,0.5534,0.7914,9,23,4,11.11,cardiffnlp/twitter-xlm-roberta-base-sentiment
Basilicata,36,0.6092,0.6909,14,17,5,13.89,cardiffnlp/twitter-xlm-roberta-base-sentiment
Antalya vs Hurghada,36,0.5389,0.7537,10,20,6,16.67,cardiffnlp/twitter-xlm-roberta-base-sentiment
Vestlandet,35,0.6737,0.7526,18,14,3,8.57,cardiffnlp/twitter-xlm-roberta-base-sentiment
Rhône-Alpes,35,0.5603,0.7138,11,19,5,14.29,cardiffnlp/twitter-xlm-roberta-base-sentiment
Molise,35,0.4959,0.7027,6,22,7,20.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
La Réunion,35,0.5409,0.7136,12,14,9,25.71,cardiffnlp/twitter-xlm-roberta-base-sentiment
Grande Lisboa,35,0.4778,0.7729,7,18,10,28.57,cardiffnlp/twitter-xlm-roberta-base-sentiment
Crete tourism,35,0.5347,0.6146,11,16,8,22.86,cardiffnlp/twitter-xlm-roberta-base-sentiment
Steiermark,34,0.7099,0.8422,17,16,1,2.94,cardiffnlp/twitter-xlm-roberta-base-sentiment
Playa de Palma,34,0.5115,0.7129,9,18,7,20.59,cardiffnlp/twitter-xlm-roberta-base-sentiment
Pays de la Loire,34,0.5501,0.6181,9,22,3,8.82,cardiffnlp/twitter-xlm-roberta-base-sentiment
Nord-Pas de Calais,34,0.5541,0.7061,11,16,7,20.59,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Balıkesir, Çanakkale",34,0.7854,0.8161,24,8,2,5.88,cardiffnlp/twitter-xlm-roberta-base-sentiment
vacaciones playa familia Europa,33,0.7051,0.7348,19,12,2,6.06,cardiffnlp/twitter-xlm-roberta-base-sentiment
Prov. Liège,33,0.517,0.7659,8,19,6,18.18,cardiffnlp/twitter-xlm-roberta-base-sentiment
Grecia Lefkada,33,0.5946,0.7417,11,19,3,9.09,cardiffnlp/twitter-xlm-roberta-base-sentiment
Franche-Comté,33,0.6804,0.6678,16,17,0,0.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Crna Gora,33,0.593,0.7764,11,18,4,12.12,cardiffnlp/twitter-xlm-roberta-base-sentiment
Chipre,33,0.4245,0.7228,2,23,8,24.24,cardiffnlp/twitter-xlm-roberta-base-sentiment
Stredné Slovensko,32,0.6657,0.7711,14,16,2,6.25,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mallorca vs Creta,32,0.5123,0.7493,6,21,5,15.62,cardiffnlp/twitter-xlm-roberta-base-sentiment
Limousin,32,0.568,0.7081,9,19,4,12.5,cardiffnlp/twitter-xlm-roberta-base-sentiment
Maldivas vs Mauricio,31,0.5626,0.7235,6,24,1,3.23,cardiffnlp/twitter-xlm-roberta-base-sentiment
Limburg,31,0.622,0.751,13,13,5,16.13,cardiffnlp/twitter-xlm-roberta-base-sentiment
Ibiza playa,31,0.5169,0.6092,8,17,6,19.35,cardiffnlp/twitter-xlm-roberta-base-sentiment
Yugoiztochen,30,0.7174,0.8076,15,14,1,3.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Malatya, Elazığ, Bingöl, Tunceli",30,0.6569,0.7304,17,8,5,16.67,cardiffnlp/twitter-xlm-roberta-base-sentiment
"Hatay, Kahramanmaraş, Osmaniye",30,0.5863,0.7796,13,10,7,23.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
Friesland,30,0.5469,0.6594,7,19,4,13.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
Burgenland,30,0.6414,0.7387,13,14,3,10.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Mallorca holiday review,29,0.6868,0.7697,17,10,2,6.9,cardiffnlp/twitter-xlm-roberta-base-sentiment
Ipeiros,29,0.5411,0.7852,8,16,5,17.24,cardiffnlp/twitter-xlm-roberta-base-sentiment
Cabo Verde Boa Vista,29,0.555,0.7846,6,21,2,6.9,cardiffnlp/twitter-xlm-roberta-base-sentiment
Attiki,29,0.4884,0.6883,5,19,5,17.24,cardiffnlp/twitter-xlm-roberta-base-sentiment
Åland,28,0.6297,0.7172,11,15,2,7.14,cardiffnlp/twitter-xlm-roberta-base-sentiment
Thüringen,28,0.5934,0.7222,11,12,5,17.86,cardiffnlp/twitter-xlm-roberta-base-sentiment
TUI Blue Mallorca,28,0.6822,0.8616,14,12,2,7.14,cardiffnlp/twitter-xlm-roberta-base-sentiment
Severna Makedonija,28,0.6933,0.7413,14,13,1,3.57,cardiffnlp/twitter-xlm-roberta-base-sentiment
Friuli-Venezia Giulia,28,0.5608,0.7504,10,12,6,21.43,cardiffnlp/twitter-xlm-roberta-base-sentiment
Dubai turismo,28,0.4983,0.7259,9,10,9,32.14,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bourgogne,28,0.6115,0.6834,11,14,3,10.71,cardiffnlp/twitter-xlm-roberta-base-sentiment
Antalya All Inclusive,28,0.5415,0.5183,10,12,6,21.43,cardiffnlp/twitter-xlm-roberta-base-sentiment
Warmińsko-mazurskie,27,0.5336,0.7603,6,17,4,14.81,cardiffnlp/twitter-xlm-roberta-base-sentiment
Saarland,27,0.5694,0.7084,8,15,4,14.81,cardiffnlp/twitter-xlm-roberta-base-sentiment
Nord-Norge,27,0.7575,0.779,18,7,2,7.41,cardiffnlp/twitter-xlm-roberta-base-sentiment
Illes Balears,27,0.4563,0.735,4,14,9,33.33,cardiffnlp/twitter-xlm-roberta-base-sentiment
Bucureşti-Ilfov,27,0.4938,0.736,7,12,8,29.63,cardiffnlp/twitter-xlm-roberta-base-sentiment
Agder og Sør-Østlandet,27,0.6247,0.7497,9,16,2,7.41,cardiffnlp/twitter-xlm-roberta-base-sentiment
Peloponnisos,26,0.7814,0.7534,20,3,3,11.54,cardiffnlp/twitter-xlm-roberta-base-sentiment
Niederbayern,26,0.7263,0.8321,16,8,2,7.69,cardiffnlp/twitter-xlm-roberta-base-sentiment
Creta playa familiar,26,0.6609,0.7149,12,13,1,3.85,cardiffnlp/twitter-xlm-roberta-base-sentiment
Poitou-Charentes,25,0.4895,0.67,4,17,4,16.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Midtjylland,25,0.5563,0.7338,7,15,3,12.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Gelderland,25,0.5515,0.7368,4,20,1,4.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Creta vacaciones,25,0.5586,0.7643,5,19,1,4.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
Basse-Normandie,25,0.5714,0.6966,7,15,3,12.0,cardiffnlp/twitter-xlm-roberta-base-sentiment
